,book_id,est_score,user_id
0,18,4.200886735436879,173
1,250,4.120364637473081,173
2,200,4.094904861773857,173
3,25,4.061305419335056,173
4,31,4.048734913333605,173
5,195,4.029249792401933,173
6,143,4.004903529709894,173
7,291,3.9677157527616247,173
8,47,3.965561720835302,173
9,329,3.9428771012820025,173
10,141,3.9295953181692598,173
11,199,3.92666007474373,173
12,87,3.9135103128398185,173
13,523,3.874696970651196,173
14,112,3.8727743130822176,173
15,23,3.8399733179333597,173
16,85,3.8262669110245238,173
17,70,3.822792220572321,173
18,4,3.818530474721636,173
19,146,3.8140588411829284,173
0,1380,4.724461030214507,178
1,2840,4.574114549885232,178
2,523,4.48222617371694,178
3,2451,4.4749174846352675,178
4,1792,4.43449464009928,178
5,520,4.392344290057032,178
6,673,4.373088553482908,178
7,87,4.353597492394131,178
8,143,4.341390869116271,178
9,828,4.34128822779583,178
10,39,4.317483550489733,178
11,516,4.311360005526741,178
12,766,4.268498398673126,178
13,1785,4.25738198667313,178
14,2535,4.245736187370306,178
15,779,4.218066406169368,178
16,4239,4.208347881435716,178
17,5037,4.20294082801713,178
18,94,4.202548163190025,178
19,2079,4.193868212276963,178
0,4,4.281517378622933,230
1,117,4.276725893737941,230
2,195,4.240967728642433,230
3,143,4.21493082627773,230
4,888,4.210119255896239,230
5,144,4.207081571412647,230
6,2632,4.201478850741324,230
7,31,4.196500990703361,230
8,291,4.180276312533725,230
9,295,4.161506915643482,230
10,793,4.152418060232737,230
11,1441,4.13799253307824,230
12,1114,4.1039320900475404,230
13,359,4.103861565842471,230
14,133,4.090518141862925,230
15,150,4.08717535335311,230
16,704,4.081878547815771,230
17,250,4.081064381937716,230
18,142,4.0790316038570875,230
19,265,4.077819025082448,230
0,39,4.359898096447444,256
1,11,4.270018059551646,256
2,36,4.230511469486993,256
3,31,4.230346195671999,256
4,142,4.219616637273882,256
5,143,4.2187975106455164,256
6,25,4.216013183525908,256
7,18,4.181906301942803,256
8,87,4.143651905279835,256
9,141,4.134484936580764,256
10,110,4.133186408429242,256
11,291,4.118276312239011,256
12,144,4.085426707759439,256
13,50,4.082911544364837,256
14,23,4.072079353082736,256
15,22,4.055123821998745,256
16,236,4.039231830958274,256
17,5101,4.03267322812983,256
18,4,3.9965228082720876,256
19,47,3.9741525237224122,256
0,2535,5.0,274
1,3722,5.0,274
2,19,5.0,274
3,155,5.0,274
4,373,5.0,274
5,18,5.0,274
6,25,5.0,274
7,4,5.0,274
8,133,5.0,274
9,958,5.0,274
10,103,4.994999627148379,274
11,3294,4.9822518195894245,274
12,738,4.978138716760156,274
13,416,4.970452347434518,274
14,10,4.945622327662499,274
15,840,4.9404301622420395,274
16,430,4.934606004382474,274
17,158,4.932618137512693,274
18,291,4.9276842319728145,274
19,1530,4.923212916161781,274
0,155,4.34058887390168,215
1,19,4.2601922152135225,215
2,102,4.246432367821288,215
3,39,4.234593794606491,215
4,189,4.201897681386779,215
5,110,4.198680059801782,215
6,757,4.180338506474956,215
7,545,4.166459168268287,215
8,278,4.163752441472313,215
9,1496,4.1422704826690095,215
10,59,4.136683497297578,215
11,54,4.129670738214488,215
12,739,4.107667770812521,215
13,599,4.103073549606004,215
14,43,4.097816950041659,215
15,15,4.0943411537342,215
16,8053,4.090533398876675,215
17,50,4.078745720604179,215
18,198,4.0729300008720655,215
19,550,4.05168918971715,215
0,3660,4.730720133227606,319
1,3396,4.686050587189317,319
2,3082,4.656824678534698,319
3,3395,4.615478482433035,319
4,2353,4.566388736733162,319
5,1895,4.541026541873987,319
6,25,4.522904325579461,319
7,2937,4.481975124843611,319
8,3086,4.453683318603223,319
9,1572,4.446774310544466,319
10,70,4.425961004740719,319
11,1722,4.4032273859950655,319
12,1142,4.2871736029725565,319
13,442,4.26304406256319,319
14,766,4.262031337238189,319
15,937,4.26131518402783,319
16,3595,4.254849322024911,319
17,219,4.254709695464608,319
18,4650,4.251561722393857,319
19,80,4.24830107769791,319
0,1597,4.066885858863747,439
1,339,4.020895661088117,439
2,11,4.015389858166481,439
3,102,4.004004370328035,439
4,373,3.9733374386946774,439
5,4,3.9691237191949327,439
6,840,3.914854450903655,439
7,157,3.91049759513955,439
8,87,3.8965880094061007,439
9,155,3.8932778999320536,439
10,19,3.854864457376136,439
11,59,3.8293768996678215,439
12,94,3.80987341118545,439
13,1464,3.7908230622801846,439
14,80,3.7857101672114006,439
15,669,3.7783373108201315,439
16,779,3.7773765115304316,439
17,828,3.7525732218678014,439
18,103,3.748153675134591,439
19,516,3.731734012152855,439
0,23,5.0,446
1,25,5.0,446
2,18,4.889078227020087,446
3,59,4.829468589462085,446
4,10,4.807637331160759,446
5,4,4.777204729057022,446
6,66,4.728772733497268,446
7,76,4.727106412444115,446
8,70,4.672389942974416,446
9,133,4.657065056527393,446
10,102,4.6549198513206935,446
11,278,4.653566227561817,446
12,87,4.631855811168457,446
13,50,4.593018659956743,446
14,339,4.587514223129303,446
15,117,4.553376051543733,446
16,523,4.540068940140725,446
17,37,4.537520120585236,446
18,743,4.533471031914546,446
19,171,4.527685567809928,446
0,25,4.705740822126481,513
1,18,4.669025377533858,513
2,4,4.54264149639277,513
3,50,4.499576149823427,513
4,958,4.455261029682207,513
5,358,4.440248360652367,513
6,93,4.423786003466769,513
7,189,4.412917451189217,513
8,2976,4.394289362752367,513
9,373,4.375667684997682,513
10,133,4.3732501600991975,513
11,125,4.360515626906625,513
12,155,4.341196176294402,513
13,5114,4.338786436091266,513
14,184,4.318819418130876,513
15,225,4.313578358441842,513
16,19,4.286268561755243,513
17,58,4.264248727927628,513
18,296,4.253227554209769,513
19,157,4.252796388648475,513
0,307,4.12904627576168,589
1,25,4.087821120991926,589
2,87,3.9219745259830323,589
3,215,3.9035763362774984,589
4,70,3.8973239713801413,589
5,110,3.8746765168688455,589
6,760,3.8724490980417645,589
7,192,3.8505749894972894,589
8,47,3.842064412290399,589
9,739,3.8316456019052176,589
10,502,3.7963648536437,589
11,1715,3.7905197419574814,589
12,39,3.7881622352663964,589
13,389,3.7780132271766047,589
