book_id,est_score,user_id
1788,4.436332768117065,173
3628,4.435434996556106,173
780,4.3459754541179665,173
862,4.329531867340559,173
1572,4.325438219747812,173
192,4.286456340774606,173
2346,4.2482337117664315,173
422,4.234959021798985,173
1010,4.205932798619587,173
3358,4.201935990850429,173
5919,4.201716516654526,173
1895,4.201632875896254,173
215,4.175266650915245,173
6902,4.173846386940096,173
735,4.165041580028738,173
189,4.158734262854001,173
983,4.144862374063788,173
3082,4.141671991363976,173
3396,4.1392804006501915,173
307,4.139230868846798,173
3628,4.770973814864419,178
780,4.753136693049186,178
862,4.719654277875594,178
1572,4.651591978181216,178
307,4.646348559560183,178
1597,4.588490326199,178
1010,4.586352266454046,178
958,4.548506476848208,178
4483,4.540992532223464,178
1342,4.538242644406428,178
746,4.533148289189892,178
1909,4.529826638173289,178
3086,4.51563111311588,178
3396,4.503701537490973,178
998,4.491023073034806,178
422,4.4899604407775096,178
3660,4.479925666365962,178
25,4.473290549092866,178
3395,4.468421568391619,178
192,4.451269752433139,178
862,4.817279321088629,230
307,4.613217779051623,230
1308,4.4960831479604675,230
998,4.450779151492527,230
4653,4.441403308540546,230
2840,4.43446212410131,230
2937,4.427322993735503,230
267,4.4243217180106535,230
3395,4.415402398842702,230
1342,4.396006771161165,230
225,4.38941569908362,230
1010,4.384600356964257,230
192,4.357513009631346,230
2043,4.3535074569425545,230
2397,4.3457211851747735,230
562,4.344194421744306,230
6361,4.343922187427962,230
5919,4.3421527009380965,230
817,4.330771541580571,230
2353,4.326445220114026,230
862,4.573804863208717,256
3628,4.47633468986739,256
1342,4.44770114830712,256
3082,4.428762730327149,256
2937,4.410378508292614,256
192,4.39850545894347,256
1010,4.397880789479588,256
1788,4.373036909391497,256
983,4.365345625542436,256
3395,4.356713847579651,256
307,4.355475730795737,256
267,4.354795607072912,256
2353,4.330596603525457,256
1909,4.31201714542608,256
1654,4.303600420762156,256
459,4.303127829651174,256
2840,4.289179221715149,256
422,4.281051792070056,256
6590,4.275940527220517,256
3023,4.273647739562831,256
189,5.0,274
102,5.0,274
994,5.0,274
1656,5.0,274
8053,5.0,274
937,5.0,274
70,5.0,274
760,5.0,274
89,5.0,274
87,5.0,274
3244,5.0,274
278,5.0,274
743,5.0,274
296,5.0,274
168,5.0,274
612,5.0,274
739,5.0,274
2869,5.0,274
4640,5.0,274
820,5.0,274
862,4.618130059077528,215
3628,4.539891526670824,215
192,4.482752598353734,215
1654,4.388895355741887,215
6902,4.388566659574048,215
1342,4.359330998211497,215
562,4.3580497145116,215
4653,4.337762764949431,215
3395,4.332099353674518,215
2840,4.327497915097206,215
422,4.315500601766698,215
3396,4.3021913759611685,215
143,4.292596399745352,215
2353,4.287922668406054,215
3358,4.278950119807935,215
307,4.27641131874246,215
1010,4.274748323175027,215
2101,4.274338240932766,215
1895,4.2726748561795915,215
1313,4.263649872381136,215
562,4.813404052059632,319
307,4.763569875183097,319
3628,4.73373545420156,319
862,4.722724621290026,319
267,4.706363472563382,319
780,4.628841123965357,319
769,4.614781855511461,319
1788,4.614051737003816,319
1597,4.603135840925552,319
1010,4.603045312991423,319
102,4.589009854672742,319
1602,4.588942198888408,319
2865,4.580853165877785,319
2346,4.55669246017389,319
793,4.546509926488229,319
1380,4.5431571454972834,319
4653,4.535278407875795,319
2840,4.518313057138346,319
192,4.516711628151284,319
18,4.51476829109715,319
2937,4.221392716828708,439
3628,4.1928448627326205,439
862,4.153473491972021,439
780,4.136374216786746,439
1342,4.133426484203547,439
4653,4.11922126508931,439
307,4.117101112002493,439
1010,4.085118464872723,439
1895,4.076439043262538,439
562,4.069559412819505,439
3086,4.059200985173818,439
746,4.026390531078369,439
6361,4.008838840284875,439
1572,4.002426128713929,439
1792,3.992483171680283,439
998,3.990852304146609,439
466,3.989948895653976,439
2353,3.988095372207207,439
1788,3.9797715491042513,439
85,3.972969472736053,439
862,5.0,446
3660,4.995717171937057,446
3395,4.978082284343416,446
3628,4.972523736704063,446
1597,4.890462156471248,446
1010,4.87547978875752,446
3472,4.854622074504724,446
958,4.85170402746112,446
2840,4.84907327286345,446
4483,4.845991643926677,446
2397,4.839436837814837,446
225,4.838522069761642,446
2353,4.838083020039337,446
780,4.837986077435894,446
3033,4.8323534956891265,446
192,4.8281714986064905,446
1441,4.824379988748854,446
964,4.820767822111969,446
2078,4.820424993757506,446
307,4.813819591402195,446
