user_id,book_id
256,1514
256,408
319,916
319,1999
439,249
439,121
513,2192
513,8802
513,2098
513,1255
513,92
513,233
513,354
513,15
513,969
513,690
589,249
513,2975
513,1411
446,270
725,895
589,1977
589,2440
997,5216
997,8355
7,10
7,233
7,4468
1019,43
1321,3837
1321,287
1350,516
1350,57
1354,3142
1354,366
1456,92
1456,895
1456,690
1403,1797
1403,94
1403,8071
1403,2284
1449,5926
1403,1083
1403,710
215,4755
1710,916
1403,1441
1403,122
1403,1068
1353,516
1350,239
1037,181
1761,736
1403,374
1350,474
1350,2691
215,7734
1307,2524
2125,493
2276,3625
2276,8165
2283,476
2283,55
2283,2939
2112,2465
1761,520
2329,916
215,1294
1772,690
2477,368
2501,127
1321,3581
2329,550
2276,3360
2888,2314
2888,4513
2888,233
2888,2517
2888,483
2998,6828
3087,101
3087,344
3094,64
3094,40
3087,2415
3087,1465
3087,5349
3087,2559
1403,1318
1353,7095
3094,11
3094,908
3094,328
1294,67
997,7986
907,7952
1307,496
3465,1021
3465,57
3569,10
3094,46
3465,1843
3094,62
2112,47
3857,35
3857,109
3857,131
3857,83
3857,361
3857,485
3857,274
3857,297
3857,2506
3857,1597
2477,46
3908,40
3908,1675
3222,4202
314,11
314,495
314,476
446,52
446,205
446,696
446,898
446,815
215,1514
4147,65
4147,173
4147,284
4147,1739
4147,323
1677,916
1800,5925
1800,46
1800,64
1800,908
1800,2883
1800,35
1800,969
1800,1171
1800,212
1800,1214
1800,2921
1800,3808
1800,7641
1800,395
1800,317
1800,1041
1800,1783
1800,961
1800,2355
1800,498
1800,1167
256,122
1761,5150
4366,115
2483,43
3856,2914
256,1567
256,115
589,4942
4490,255
3502,18
3502,24
4314,701
4314,1282
4314,1999
3856,854
3094,9038
4972,119
4606,508
4606,1645
4972,867
4490,4810
4671,1515
859,7127
859,7986
859,8592
859,682
859,8988
3856,574
5610,104
5610,212
5610,82
5610,233
5610,1873
5610,100
5610,366
5610,5527
4671,3007
5624,3311
997,2107
5624,2190
5624,436
5624,129
5624,1714
5610,3171
7,3552
7,225
7,3720
5100,1644
2331,323
1761,1873
3857,1509
5912,94
5917,1073
5912,162
5912,8099
5917,1094
5917,97
5912,856
5912,3769
5917,57
3662,2661
5567,249
4212,46
6054,3027
5567,1711
5567,3016
5917,417
2888,554
2888,712
2888,864
2888,1026
1352,1426
5567,4317
5567,2192
5567,534
5567,1310
5567,7651
5567,119
5610,407
5610,653
5610,1055
1403,3296
3969,94
1449,3296
6329,425
6397,33
6397,369
6397,570
6397,217
6397,111
5567,779
1710,457
1710,256
314,6876
6488,498
1403,7651
6488,255
6488,1042
